Time,Temperature (째F),Temperature (째C),Dew Point (째F),Dew Point (째C),Humidity (%),Wind Speed (miles per hour)
12:00 AM,85,29.4,76,24.4,74,6
1:00 AM,85,29.4,76,24.4,74,5
2:00 AM,84,28.9,75,23.9,74,8
3:00 AM,83,28.3,75,23.9,77,5
4:00 AM,83,28.3,75,23.9,77,7
5:00 AM,83,28.3,75,23.9,77,8
6:00 AM,84,28.9,75,23.9,74,7
7:00 AM,88,31.1,76,24.4,67,9
8:00 AM,91,32.8,76,24.4,61,9
9:00 AM,94,34.4,76,24.4,56,10
10:00 AM,96,35.6,76,24.4,52,9
11:00 AM,97,36.1,76,24.4,51,5
12:00 PM,100,37.8,75,23.9,45,9
1:00 PM,100,37.8,74,23.3,43,8
2:00 PM,102,38.9,72,22.2,38,13
3:00 PM,102,38.9,72,22.2,38,16
4:00 PM,100,37.8,73,22.8,42,10
5:00 PM,99,37.2,73,22.8,43,10
6:00 PM,97,36.1,74,23.3,47,8
7:00 PM,94,34.4,73,22.8,51,6
8:00 PM,92,33.3,74,23.3,55,7
9:00 PM,91,32.8,75,23.9,59,8
10:00 PM,90,32.2,76,24.4,63,12
11:00 PM,89,31.7,76,24.4,65,12
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
2000,8-30,107,41.7,,,
"High temperature observed at Memphis International Airport
Source: CurrentResults",,,,,,